Seed 0: Correct = 0, Rate = 0.916667
Seed 1: Correct = 0, Rate = 0.833333
Seed 2: Correct = 1, Rate = 1.000000
Seed 3: Correct = 1, Rate = 1.000000
Seed 4: Correct = 1, Rate = 1.000000
Seed 5: Correct = 0, Rate = 0.916667
Seed 6: Correct = 1, Rate = 1.000000
Seed 7: Correct = 0, Rate = 0.833333
Seed 8: Correct = 0, Rate = 0.916667
Seed 9: Correct = 1, Rate = 1.000000
Seed 10: Correct = 1, Rate = 1.000000
Seed 11: Correct = 0, Rate = 0.916667
Seed 12: Correct = 0, Rate = 0.916667
Seed 13: Correct = 1, Rate = 1.000000
Seed 14: Correct = 0, Rate = 0.916667
Seed 15: Correct = 1, Rate = 1.000000
Seed 16: Correct = 0, Rate = 0.833333
Seed 17: Correct = 1, Rate = 1.000000
Seed 18: Correct = 1, Rate = 1.000000
Seed 19: Correct = 1, Rate = 1.000000
Seed 20: Correct = 0, Rate = 0.000000
Seed 21: Correct = 0, Rate = 0.833333
Seed 22: Correct = 1, Rate = 1.000000
Seed 23: Correct = 1, Rate = 1.000000
Seed 24: Correct = 1, Rate = 1.000000
Seed 25: Correct = 1, Rate = 1.000000
Seed 26: Correct = 1, Rate = 1.000000
Seed 27: Correct = 0, Rate = 0.916667
Seed 28: Correct = 1, Rate = 1.000000
Seed 29: Correct = 1, Rate = 1.000000
Seed 30: Correct = 0, Rate = 0.916667
Seed 31: Correct = 1, Rate = 1.000000
Seed 32: Correct = 1, Rate = 1.000000
Seed 33: Correct = 1, Rate = 1.000000
Seed 34: Correct = 0, Rate = 0.916667
Seed 35: Correct = 1, Rate = 1.000000
Seed 36: Correct = 1, Rate = 1.000000
Seed 37: Correct = 1, Rate = 1.000000
Seed 38: Correct = 1, Rate = 1.000000
Seed 39: Correct = 1, Rate = 1.000000
Seed 40: Correct = 1, Rate = 1.000000
Seed 41: Correct = 0, Rate = 0.916667
Seed 42: Correct = 1, Rate = 1.000000
Seed 43: Correct = 1, Rate = 1.000000
Seed 44: Correct = 0, Rate = 0.916667
Seed 45: Correct = 0, Rate = 0.916667
Seed 46: Correct = 0, Rate = 0.916667
Seed 47: Correct = 1, Rate = 1.000000
Seed 48: Correct = 0, Rate = 0.916667
Seed 49: Correct = 0, Rate = 0.833333
Seed 50: Correct = 1, Rate = 1.000000
Seed 51: Correct = 0, Rate = 0.916667
Seed 52: Correct = 0, Rate = 0.916667
Seed 53: Correct = 1, Rate = 1.000000
Seed 54: Correct = 0, Rate = 0.916667
Seed 55: Correct = 1, Rate = 1.000000
Seed 56: Correct = 0, Rate = 0.916667
Seed 57: Correct = 1, Rate = 1.000000
Seed 58: Correct = 0, Rate = 0.916667
Seed 59: Correct = 1, Rate = 1.000000
Seed 60: Correct = 1, Rate = 1.000000
Seed 61: Correct = 1, Rate = 1.000000
Seed 62: Correct = 0, Rate = 0.916667
Seed 63: Correct = 0, Rate = 0.916667
Seed 64: Correct = 0, Rate = 0.916667
Seed 65: Correct = 0, Rate = 0.833333
Seed 66: Correct = 0, Rate = 0.916667
Seed 67: Correct = 1, Rate = 1.000000
Seed 68: Correct = 1, Rate = 1.000000
Seed 69: Correct = 0, Rate = 0.916667
Seed 70: Correct = 1, Rate = 1.000000
Seed 71: Correct = 1, Rate = 1.000000
Seed 72: Correct = 0, Rate = 0.833333
Seed 73: Correct = 0, Rate = 0.916667
Seed 74: Correct = 1, Rate = 1.000000
Seed 75: Correct = 0, Rate = 0.916667
Seed 76: Correct = 1, Rate = 1.000000
Seed 77: Correct = 1, Rate = 1.000000
Seed 78: Correct = 1, Rate = 1.000000
Seed 79: Correct = 1, Rate = 1.000000
Seed 80: Correct = 1, Rate = 1.000000
Seed 81: Correct = 0, Rate = 0.916667
Seed 82: Correct = 0, Rate = 0.916667
Seed 83: Correct = 0, Rate = 0.916667
Seed 84: Correct = 1, Rate = 1.000000
Seed 85: Correct = 1, Rate = 1.000000
Seed 86: Correct = 1, Rate = 1.000000
Seed 87: Correct = 0, Rate = 0.916667
Seed 88: Correct = 0, Rate = 0.916667
Seed 89: Correct = 1, Rate = 1.000000
Seed 90: Correct = 1, Rate = 1.000000
Seed 91: Correct = 1, Rate = 1.000000
Seed 92: Correct = 1, Rate = 1.000000
Seed 93: Correct = 1, Rate = 1.000000
Seed 94: Correct = 1, Rate = 1.000000
Seed 95: Correct = 0, Rate = 0.916667
Seed 96: Correct = 0, Rate = 0.916667
Seed 97: Correct = 0, Rate = 0.916667
Seed 98: Correct = 1, Rate = 1.000000
Seed 99: Correct = 1, Rate = 1.000000

All correct rate = 0.580000
Average correct rate = 0.950000
