ID, AD1, AD2, AD3, MP1, MP2, ON1, ON2, ON3, OP1, OP2, OP3, CON1, CON2, CON3, DSU1, DSU2, DSU3, DSU4, DSU5, TRY1, TRY2, TRY3, PEU1, PEU2, PEU3, PEU4, PU1, PU2, PU3, PU4, SSE1, SSE2, SSE3, SSE4, SSE5, CHECK
0, 4, 3, 3, 6, 5, 4, 4, 5, 4, 5, 5, 7, 7, 2, 6, 6, 5, 5, 7, 5, 5, 3, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 6, 1
1, 5, 4, 3, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
2, 5, 5, 4, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
3, 4, 4, 3, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 5, 5, 3, 5, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
4, 5, 5, 5, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 2, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
5, 4, 4, 3, 6, 5, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 6, 6, 6, 6, 4, 4, 4, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
6, 3, 2, 2, 5, 5, 3, 3, 4, 4, 4, 3, 6, 6, 2, 5, 5, 4, 5, 6, 3, 3, 2, 5, 4, 5, 5, 6, 6, 6, 6, 5, 5, 6, 6, 5, 1
7, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 6, 6, 2, 6, 6, 5, 6, 6, 5, 5, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
8, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 4, 6, 6, 2, 6, 5, 5, 5, 6, 4, 4, 3, 6, 5, 6, 6, 6, 5, 5, 6, 5, 6, 6, 6, 6, 1
9, 4, 4, 4, 5, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 6, 5, 6, 6, 5, 4, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
10, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 5, 5, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
11, 5, 4, 3, 6, 5, 5, 5, 5, 4, 4, 5, 7, 7, 2, 7, 6, 5, 6, 7, 5, 4, 4, 6, 5, 6, 6, 6, 6, 6, 6, 7, 7, 6, 7, 7, 1
12, 5, 4, 5, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 2, 6, 6, 6, 6, 6, 5, 5, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
14, 4, 3, 4, 5, 5, 5, 5, 5, 4, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 5, 6, 5, 6, 5, 5, 6, 6, 6, 6, 6, 5, 5, 6, 6, 5, 1
15, 3, 3, 3, 5, 5, 4, 5, 4, 4, 5, 4, 6, 6, 2, 5, 5, 5, 5, 6, 4, 4, 4, 5, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
16, 5, 5, 4, 6, 6, 6, 6, 6, 5, 6, 5, 7, 7, 1, 6, 5, 5, 6, 6, 5, 5, 4, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
17, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 2, 6, 6, 5, 6, 6, 5, 5, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
18, 5, 3, 4, 6, 6, 5, 5, 5, 4, 5, 4, 7, 7, 2, 6, 5, 5, 6, 7, 5, 4, 3, 5, 4, 5, 6, 7, 7, 7, 7, 6, 6, 6, 7, 6, 1
19, 5, 4, 5, 6, 6, 5, 5, 6, 5, 5, 5, 6, 6, 2, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
20, 5, 3, 4, 5, 5, 5, 5, 5, 5, 6, 5, 6, 6, 2, 6, 6, 6, 6, 6, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
21, 4, 4, 3, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 4, 4, 3, 5, 5, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 1
22, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 6, 5, 6, 6, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
23, 4, 3, 3, 6, 6, 5, 5, 5, 4, 5, 5, 6, 6, 2, 5, 5, 5, 5, 6, 4, 4, 4, 6, 5, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 1
24, 2, 2, 2, 4, 4, 3, 3, 3, 4, 4, 4, 6, 6, 1, 5, 5, 4, 5, 6, 3, 3, 3, 5, 5, 5, 5, 6, 6, 6, 6, 5, 6, 5, 6, 5, 1
26, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 1, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
27, 4, 3, 3, 6, 6, 5, 5, 5, 4, 5, 5, 7, 7, 2, 6, 6, 5, 6, 6, 5, 5, 4, 5, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
28, 5, 4, 3, 6, 6, 5, 5, 5, 5, 6, 5, 7, 7, 2, 6, 6, 5, 6, 7, 4, 4, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 6, 1
